Symbol,Date,Signal,RSI14,BreakoutStrength,ConfirmationScore
LT,2026-09-17,False,34.584744017714,-0.07007971958477455,0
LTF,2026-09-17,False,42.88724980692998,-0.07638252652735678,0
LTFOODS,2026-09-17,False,43.95727553923932,-0.14020790014066575,0
LTTS,2026-09-17,False,36.237524237679466,-0.09542855814200679,0
LUPIN,2026-09-17,False,37.47092426672751,-0.06246919468609291,0
M&M,2026-09-17,False,32.4516252428365,-0.10991202206843709,1
M&MFIN,2026-09-17,False,34.036759533336905,-0.1303144346992925,0
MAHABANK,2026-09-17,False,43.723351779877014,-0.07657139369419641,0
MAHSCOOTER,2026-09-17,False,46.126649754140615,-0.058895090883068546,0
MAHSEAMLES,2026-09-17,False,66.55093969863219,-0.02491194690916343,1
MANAPPURAM,2026-09-17,False,33.82909982732593,-0.1516575006074028,0
MANKIND,2026-09-17,False,43.14976001167878,-0.05111593190129138,1
MANYAVAR,2026-09-17,False,60.878469568749416,-0.06026494108288494,1
MAPMYINDIA,2026-09-17,False,32.54970866910945,-0.13862537483739712,0
MARICO,2026-09-17,False,44.81202298650947,-0.052369104141413825,1
MARUTI,2026-09-17,False,28.62807087143237,-0.1076233183856502,0
MAXHEALTH,2026-09-17,False,53.2150202556128,-0.010496183206106902,1
MAZDOCK,2026-09-17,False,22.23729197695107,-0.1681722525657141,1
MCX,2026-09-17,False,56.07166664501588,-0.0396470731847427,1
MEDANTA,2026-09-17,False,48.9153026876097,-0.07772020725388606,0
METROPOLIS,2026-09-17,False,54.331698944305835,-0.03489713943544237,1
MFSL,2026-09-17,False,54.51710307902292,-0.03171538640398841,2
MGL,2026-09-17,False,43.14981179106914,-0.08694170153869785,0
MINDACORP,2026-09-17,False,40.68091678470424,-0.09982820958189065,0
MMTC,2026-09-17,False,35.5488203992053,-0.11009177626253608,0
MOTHERSON,2026-09-17,False,49.348091802304424,-0.05779981232933229,0
MOTILALOFS,2026-09-17,False,48.87379137738202,-0.06744005117696195,0
MPHASIS,2026-09-17,False,42.56658071651284,-0.08045977011494254,0
MRF,2026-09-17,False,27.051414523088155,-0.08258468335787927,0
MRPL,2026-09-17,False,40.258563110173746,-0.14658671453214056,0
